#mpa_vOct22_CHOCOPhlAnSGB_202212
clade_name	E_01_LE1_MKDL240002035-1A_22KHLFLT3_L1_1_kneaddata	E_01_LE2_MKDL240002036-1A_22KHLFLT3_L1_1_kneaddata	E_02_LE1_MKDL240002037-1A_22KHLFLT3_L1_1_kneaddata	E_02_LE2_MKDL240002038-1A_22KHLFLT3_L1_1_kneaddata	E_03_LE1_MKDL240002615-1A_22KHLFLT3_L1_1_kneaddata	E_03_LE2_MKDL240002040-1A_22KHLFLT3_L1_1_kneaddata	E_07_LE1_MKDL240002041-1A_22KHLFLT3_L1_1_kneaddata	E_07_LE2_MKDL240002042-1A_22KHLFLT3_L1_1_kneaddata	E_08_LE1_MKDL240002043-1A_22KHJWLT3_L2_1_kneaddata	E_08_LE2_MKDL240002044-1A_22KHJWLT3_L2_1_kneaddata	E_09_LE1_MKDL240002045-1A_22KHJWLT3_L2_1_kneaddata	E_09_LE2_MKDL240002046-1A_22KHJWLT3_L2_1_kneaddata	E_12_LE1_MKDL240002047-1A_22KHJWLT3_L2_1_kneaddata	E_12_LE2_MKDL240002048-1A_22KHJWLT3_L2_1_kneaddata	E_13_LE1_MKDL240002049-1A_22KHJWLT3_L2_1_kneaddata	E_13_LE2_MKDL240002616-1A_22KHLFLT3_L3_1_kneaddata	E_16_LE1_MKDL240002051-1A_22KHLFLT3_L3_1_kneaddata	E_16_LE2_MKDL240002052-1A_22KHLFLT3_L3_1_kneaddata	E_19_LE1_MKDL240002053-1A_22KHLFLT3_L3_1_kneaddata	E_19_LE2_MKDL240002054-1A_22KHLFLT3_L3_1_kneaddata	E_20_LE1_MKDL240002055-1A_22KHLFLT3_L3_1_kneaddata	E_20_LE2_MKDL240002056-1A_22KHLFLT3_L3_1_kneaddata
UNCLASSIFIED	40.95529	99.6853	71.34398	98.11747	98.23608	71.04984	99.34093	82.74194	98.39023	96.45	83.50954	70.74867	89.3017	43.89365	80.71823	99.51294	95.57222	96.09182	99.2113	97.29765	99.12	60.69426
k__Bacteria	59.0447053231894	0.3146984499544521	28.656019471700432	1.8825259911542225	1.76392365928852	28.95016467761094	0.6590672969962026	17.258061572258306	1.609765288190809	3.549996549398602	16.490456607758325	29.25132857621162	10.698301628779522	56.10634627295754	19.281772317785148	0.4870578374266451	4.427781600372569	3.9081765603965097	0.7886977119370824	2.702354567616757	0.880004213596896	39.30573943217089
k__Bacteria|p__Firmicutes	59.0447053231894	0.3146984499544521	28.656019471700432	1.8825259911542225	1.660257336655036	4.162770234141886	0.6590672969962026	17.258061572258306	1.609765288190809	3.549996549398602	16.490456607758325	29.25132857621162	1.6720043968269025	29.54927130238569	19.281772317785148	0.4870578374266451	4.427781600372569	3.9081765603965097	0.7886977119370824	2.702354567616757	0.166004874857132	4.28817756057098
k__Bacteria|p__Firmicutes|c__Bacilli	59.0447053231894	0.3146984499544521	28.656019471700432	1.8825259911542225	1.660257336655036	4.162770234141886	0.6590672969962026	17.258061572258306	1.609765288190809	3.549996549398602	16.490456607758325	29.25132857621162	1.6720043968269025	29.545669274954967	19.281772317785148	0.4870578374266451	4.427781600372569	3.9081765603965097	0.7886977119370824	2.702354567616757	0.166004874857132	4.28817756057098
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales	59.0447053231894	0.3146984499544521	28.656019471700432	1.8825259911542225	1.660257336655036	4.162770234141886	0.6590672969962026	17.258061572258306	1.609765288190809	3.549996549398602	16.490456607758325	29.25132857621162	1.6720043968269025	29.499841611319216	19.281772317785148	0.4870578374266451	4.427781600372569	3.9081765603965097	0.7886977119370824	2.702354567616757	0.166004874857132	4.28817756057098
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae	59.0447053231894	0.3146984499544521	28.656019471700432	1.8825259911542225	1.660257336655036	4.162770234141886	0.6590672969962026	17.258061572258306	1.609765288190809	3.549996549398602	16.490456607758325	29.25132857621162	1.6720043968269025	29.45873810203965	19.281772317785148	0.4870578374266451	4.427781600372569	3.9081765603965097	0.7886977119370824	2.702354567616757	0.166004874857132	4.28817756057098
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus	59.0447053231894	0.3146984499544521	28.656019471700432	1.8825259911542225	1.660257336655036	4.162770234141886	0.6590672969962026	17.254879185704382	1.609765288190809	3.549996549398602	16.46572916807499	29.196409206809783	1.641643686634589	29.04468448781448	19.281772317785148	0.4870578374266451	4.427781600372569	3.9081765603965097	0.7886977119370824	2.702354567616757	0.166004874857132	4.267644242291613
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_iners	59.0447053231894	0.3146984499544521	28.45938473168757	1.8825259911542225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.427781600372569	3.9081765603965097	0.7886977119370824	2.702354567616757	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_iners|t__SGB7025	59.0447053231894	0.3146984499544521	28.45938473168757	1.8825259911542225	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.427781600372569	3.9081765603965097	0.7886977119370824	2.702354567616757	0.0	0.0
k__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Lactobacillaceae|g__Lactobacillus|s__Lactobacillus_gasseri	0.0	0.0	0.1966347400128612	0.0	0.358231728117587	3.9682598677059535	0.0	0.0	0.0	0.0	0.0	0.0	1.641643686634589	29.04468448781448	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
